age_x,age_y,mean,sd,norm_sd
"[0,5)","[0,5)",700.2629761405022,117.31334972036706,0.1675275628121014
"[0,5)","[10,15)",171.5285931743891,28.549712232658397,0.16644287523324217
"[0,5)","[15,20)",109.608993868952,20.756316098870425,0.189366906548623
"[0,5)","[20,25)",177.10207344840282,34.52629371007548,0.19495138051071106
"[0,5)","[25,30)",288.48537472340206,33.70806929875394,0.11684498505712126
"[0,5)","[30,35)",324.8342728713044,37.99688666457343,0.11697314550188292
"[0,5)","[35,40)",392.50547549844924,68.87437316454236,0.17547366206058054
"[0,5)","[40,45)",158.95551489465606,31.5766895048053,0.198651110190999
"[0,5)","[45,50)",99.78621277051462,20.24993559927154,0.20293320126139813
"[0,5)","[5,10)",295.8483767470756,32.7779752124007,0.1107931555102734
"[0,5)","[50,70)",364.55346500843643,37.82138772322125,0.10374716290886439
"[0,5)",70+,62.99742992007584,28.82405371797171,0.4575433276332142
"[10,15)","[0,5)",154.84262234317447,25.77245127145302,0.16644287523324214
"[10,15)","[10,15)",2511.578201182066,239.8644514540342,0.09550347719260455
"[10,15)","[15,20)",477.81273052173924,43.287960742862694,0.09059608080260893
"[10,15)","[20,25)",90.04508039287263,17.36958353056854,0.19289875087882535
"[10,15)","[25,30)",135.29985772117615,20.875210411383563,0.15428848753413232
"[10,15)","[30,35)",209.0885530447651,25.014203633252787,0.1196344958583043
"[10,15)","[35,40)",400.4527829422044,35.75686978963804,0.08929110075581288
"[10,15)","[40,45)",430.25553368443803,43.64242954389575,0.10143374373403036
"[10,15)","[45,50)",235.61044589750423,66.82028601803204,0.2836049384970832
"[10,15)","[5,10)",420.1614123085754,45.14380186690582,0.10744395021633081
"[10,15)","[50,70)",396.9256744523253,38.51544141521122,0.09703439181240796
"[10,15)",70+,150.42152955349437,37.10418574658345,0.2466680524837244
"[15,20)","[0,5)",95.60797977624031,18.10498737158994,0.189366906548623
"[15,20)","[10,15)",461.69128294197196,41.8274207752711,0.09059608080260899
"[15,20)","[15,20)",2449.461656545144,214.03324455523872,0.08737970810170716
"[15,20)","[20,25)",454.2352677750536,51.91924863354402,0.11430034679573906
"[15,20)","[25,30)",261.4648121805412,38.70728820233082,0.14804014306752483
"[15,20)","[30,35)",170.26355718390846,25.307952592479282,0.14863986757391162
"[15,20)","[35,40)",319.4167344033552,35.813427378406125,0.11212132465539958
"[15,20)","[40,45)",354.75623919558467,44.16012439230921,0.12448019094024387
"[15,20)","[45,50)",354.7919174468881,45.18368740404845,0.1273526401875048
"[15,20)","[5,10)",190.40056264491187,35.27414085269815,0.18526279735046147
"[15,20)","[50,70)",468.36929334332984,43.92935920353648,0.0937921418587423
"[15,20)",70+,230.0291629533908,48.36843451927669,0.21027087999740818
"[20,25)","[0,5)",156.6003316651174,30.529450846549857,0.19495138051071106
"[20,25)","[10,15)",88.20130885333916,17.013922303686588,0.1928987508788252
"[20,25)","[15,20)",460.4706270240195,52.63195235809689,0.11430034679573915
"[20,25)","[20,25)",952.5876712446527,123.88995845901577,0.1300562270527194
"[20,25)","[25,30)",497.61199901658637,54.34139651802469,0.10920435324191888
"[20,25)","[30,35)",307.5035435679539,41.40654946932032,0.13465389370438283
"[20,25)","[35,40)",276.3847371655176,34.40736540070055,0.12449083025918006
"[20,25)","[40,45)",302.2539124761503,41.037179043972564,0.13577054704696553
"[20,25)","[45,50)",339.8803664775986,38.8079116965155,0.11418109289073428
"[20,25)","[5,10)",160.57028017439322,50.16600657330569,0.3124239835592307
"[20,25)","[50,70)",618.5027454106307,57.05164363922598,0.09224153661815805
"[20,25)",70+,154.0841529051377,66.48496320004303,0.43148475652116325
"[25,30)","[0,5)",265.38409647842525,31.00880078741923,0.11684498505712128
"[25,30)","[10,15)",137.87783035306384,21.272961909661923,0.1542884875341325
"[25,30)","[15,20)",275.75055332722985,40.82215136551223,0.14804014306752478
"[25,30)","[20,25)",517.6937300913705,56.53440897202463,0.10920435324191886
"[25,30)","[25,30)",667.8135514840721,75.2112537967718,0.11262313205479425
"[25,30)","[30,35)",413.3073785676213,46.07019394288942,0.11146714608036416
"[25,30)","[35,40)",337.5083133078919,41.77279993187062,0.12376821039594184
"[25,30)","[40,45)",330.7822563698798,44.602654550624344,0.1348399247290634
"[25,30)","[45,50)",334.3160766330184,43.454222179824285,0.12997945721744145
"[25,30)","[5,10)",249.16918946059496,53.144142555382984,0.2132853691519011
"[25,30)","[50,70)",867.4124319326099,69.49928900025178,0.08012254199009594
"[25,30)",70+,146.0802152344537,42.638365194927566,0.2918832309118279
"[30,35)","[0,5)",269.06532453899973,31.473417356811762,0.11697314550188291
"[30,35)","[10,15)",191.85457170771377,22.95242496436321,0.1196344958583042
"[30,35)","[15,20)",161.68496597832407,24.032831931710493,0.1486398675739116
"[30,35)","[20,25)",288.0560362848181,38.787866890801794,0.13465389370438302
"[30,35)","[25,30)",372.14993978386093,41.4824917016864,0.11146714608036429
"[30,35)","[30,35)",612.8574190404744,77.8930732340258,0.1270981974175654
"[30,35)","[35,40)",463.00878671441876,48.38852886346872,0.10450887812916279
"[30,35)","[40,45)",354.8644513893399,46.607209930708855,0.13133806372612317
"[30,35)","[45,50)",261.63422392741467,34.309961823580565,0.13113713224726745
"[30,35)","[5,10)",340.6167076319254,33.91303946629204,0.09956364061547705
"[30,35)","[50,70)",772.4474138657387,61.941992456953784,0.08018926770297932
"[30,35)",70+,100.11512995711725,30.991414813624484,0.3095577544263207
"[35,40)","[0,5)",288.70405641704883,50.65995803124402,0.17547366206058057
"[35,40)","[10,15)",326.29054585922114,29.134842005984865,0.08929110075581279
"[35,40)","[15,20)",269.34993892472033,30.199871948090575,0.11212132465539942
"[35,40)","[20,25)",229.9069981018813,28.621313076098957,0.12449083025918015
"[35,40)","[25,30)",269.8612626755436,33.40024553654119,0.12376821039594177
"[35,40)","[30,35)",411.1502057424062,42.968846744713346,0.10450887812916282
"[35,40)","[35,40)",550.1457473626378,71.64725145640288,0.13023321874226065
"[35,40)","[40,45)",464.7979123601463,44.96330435122073,0.09673731993094913
"[35,40)","[45,50)",314.7658585327787,34.70550899753319,0.11025817462956856
"[35,40)","[5,10)",387.1218482586338,72.24410060161132,0.1866185050690951
"[35,40)","[50,70)",785.0096776450865,57.689686447212054,0.07348914043999129
"[35,40)",70+,130.2031171468508,28.82785439093675,0.2214067913475757
"[40,45)","[0,5)",117.9375663000636,23.428428478732187,0.19865111019099904
"[40,45)","[10,15)",353.62994550269974,35.8700092688,0.10143374373403044
"[40,45)","[15,20)",301.75790329947716,37.56288142044659,0.12448019094024394
"[40,45)","[20,25)",253.61764233352542,34.43380604038441,0.13577054704696562
"[40,45)","[25,30)",266.788849348402,35.973788364691956,0.1348399247290634
"[40,45)","[30,35)",317.8653363882747,41.74781780688878,0.1313380637261231
"[40,45)","[35,40)",468.8496151562241,45.35525522087005,0.09673731993094918
"[40,45)","[40,45)",494.8965439072903,65.38257741254205,0.13211362701451854
"[40,45)","[45,50)",440.7947528898658,54.780163900754275,0.12427589834410144
"[40,45)","[5,10)",303.60980730368414,44.77161191113266,0.14746431384658826
"[40,45)","[50,70)",795.6231149253548,70.11971831032086,0.08813182648281842
"[40,45)",70+,314.431290234797,46.81586687410907,0.1488906108522151
"[45,50)","[0,5)",86.39654546120825,17.53272754836892,0.2029332012613983
"[45,50)","[10,15)",225.9781177179981,64.08851017709951,0.28360493849708335
"[45,50)","[15,20)",352.16938994608347,44.849701602856634,0.12735264018750478
"[45,50)","[20,25)",332.79966760642293,37.99942976097445,0.11418109289073422
"[45,50)","[25,30)",314.6530938662884,40.89843835252884,0.12997945721744153
"[45,50)","[30,35)",273.4793273777939,35.86329472123554,0.13113713224726758
"[45,50)","[35,40)",370.51542365620315,40.85235428443428,0.1102581746295687
"[45,50)","[40,45)",514.3819167011699,63.92527478999854,0.12427589834410124
"[45,50)","[45,50)",682.4888187254991,98.7092974469858,0.14463137671811038
"[45,50)","[5,10)",118.08091572375679,16.407623852476355,0.13895237644380237
"[45,50)","[50,70)",787.6267029484671,69.81717455658831,0.08864246767565004
"[45,50)",70+,316.7122608509189,58.57726609396437,0.18495421028722836
"[5,10)","[0,5)",287.1001872632338,31.808735694484067,0.11079315551027337
"[5,10)","[10,15)",451.6754201458178,48.529791356087514,0.10744395021633074
"[5,10)","[15,20)",211.82858354051712,39.24395594550208,0.18526279735046128
"[5,10)","[20,25)",176.22211871491348,55.056016320160964,0.3124239835592309
"[5,10)","[25,30)",262.84972779945616,56.06200122518372,0.21328536915190108
"[5,10)","[30,35)",399.05645892559323,39.73151386175265,0.09956364061547707
"[5,10)","[35,40)",510.74579675756115,95.31461706121992,0.18661850506909505
"[5,10)","[40,45)",397.10332155711274,58.55856883962073,0.14746431384658826
"[5,10)","[45,50)",132.34823678434077,18.390102019331223,0.13895237644380246
"[5,10)","[5,10)",2415.9568099871076,244.24183039363498,0.10109528009109499
"[5,10)","[50,70)",425.1437492669432,46.865673887796326,0.11023488871376978
"[5,10)",70+,88.18341711140384,35.258208479955385,0.3998281041367789
"[50,70)","[0,5)",94.30898805699941,9.784289947719662,0.10374716290886438
"[50,70)","[10,15)",113.74886024492648,11.03755147322103,0.09703439181240794
"[50,70)","[15,20)",138.90961856402834,13.028630649901121,0.09379214185874225
"[50,70)","[20,25)",180.95244448884833,16.69133153446334,0.09224153661815819
"[50,70)","[25,30)",243.93066726043466,19.544345130246317,0.08012254199009602
"[50,70)","[30,35)",241.24864933564757,19.34555252455841,0.08018926770297925
"[50,70)","[35,40)",276.09573557271216,20.290038286385744,0.0734891404399913
"[50,70)","[40,45)",277.4103657461468,24.44868221847461,0.08813182648281843
"[50,70)","[45,50)",235.33496002385272,20.86067158686478,0.08864246767565012
"[50,70)","[5,10)",113.33482217786818,12.493451510172187,0.1102348887137698
"[50,70)","[50,70)",965.1961917449665,60.64789332366788,0.0628347830652163
"[50,70)",70+,309.38011280076734,44.59251127857537,0.14413502818551166
70+,"[0,5)",31.39600092856076,14.365030739229171,0.45754332763321415
70+,"[10,15)",83.04385655413142,20.48426636694537,0.2466680524837244
70+,"[15,20)",131.4275614703842,27.63538900629114,0.21027087999740812
70+,"[20,25)",86.8441251567352,37.471916198547284,0.43148475652116286
70+,"[25,30)",79.1392278102657,23.099413505127536,0.29188323091182794
70+,"[30,35)",60.23588968809079,18.646486747716967,0.30955775442632094
70+,"[35,40)",88.21972841253894,19.53244700137479,0.22140679134757554
70+,"[40,45)",211.2032989412576,31.446188193366837,0.14889061085221508
70+,"[45,50)",182.30162502425327,33.71745309043917,0.18495421028722825
70+,"[5,10)",45.287061287845624,18.107039856645425,0.39982810413677883
70+,"[50,70)",596.007932879744,85.90562020441038,0.14413502818551158
70+,70+,493.8111190275097,123.1218144870487,0.24932977355698163
