Parameter,Description,Distribution,Units,Type,Source,Method,Setting,Fitted,URL
$C_{\text{eff}}$,The assumed effective number of contacts per infectious TB case.,"$\mathcal{N}(1, 1)$ truncated to be greater than 0.",-,Vynnycky et al.,[@Vynnycky1999],Estimated using a dynamic model of TB transmission in England which found an effective contact rate of 1 in 1990. A conservative interval has then been applied.,England,Yes,-
$C^{\text{hist}}_{\text{eff}}$,The assumed historic effective number of contacts per infectious TB case.,"$\mathcal{U}(C_{\text{eff}}, 20)$",-,Vynnycky et al.,[@Vynnycky1999],Estimated using a dynamic model of TB transmission in England which found an effective contact rate of 1 in 1990 and 20 in 1901. A conservative interval has been chosen to represent the parameter uncertainty. It has been assumed that the historic contact rate is bounded below by the current contact rate.,England,Yes,-
$C^{\text{half-life}}_{\text{eff}}$,It is assumed that the historic effective contact rate decays from 1935 to 1980 with a half-life of C^{\text{half-life}}_{\text{eff}}.,"$\mathcal{N}(5, 5)$ truncated to be greater than 0.",-,Assumption,,The prior distribution is informed by historic TB notifications.,England,Yes,-
$\beta_{\text{young-adult}}$,This parameter modifies the effective contact rate in scenarios when the transmission probability is modified for young adults (15-24).,"$\mathcal{U}(0, 10)$",-,Assumption,Assumption,An uninformative prior has been used bounded above to restrict the transmission probability in young adults to be no greater than 10 times that in other age-groups.,England,Yes,-
$\Upsilon$,The age-specific proportion of cases that have pulmonary TB,"$\Upsilon_{0-14,15-59,60-89} = \mathcal{N}(0.629, 0.00101)$, $\mathcal{N}(0.706, 0.00411)$, $\mathcal{N}(0.750, 0.00569)$",Proportion,Derived from data,ETS,Estimated using the age-specific proportion of cases that had pulmonary TB in the ETS.,England,No,-
$\rho$,The age-specific proportion of pulmonary TB cases that are smear positive,"$\rho_{0-14,15-59,60-89} = \mathcal{N}(0.302, 0.0189)$, $\mathcal{N}(0.652, 0.00518)$, $\mathcal{N}(0.536, 0.00845)$",Proportion,Derived from data,ETS,Estimated using the age-specific proportion of pulmonary TB cases that were smear postive in the ETS.,England,No,-
$C$,Matrix of contact rates between each age group,-,Non-unique yearly contacts.,Mossong et al.,[@Mossong2008],"For each parameter sample a contact matrix was bootstrapped from the POLYMOD survey data, standardised using the UK born population in 2005, and then averaged to provided a symmetric contact matrix.",United Kingdom,No,https://doi.org/10.1371/journal.pmed.0050074
$\iota(t)$,The age-specific number of non-UK born pulmonary TB cases in England each year,-,Cases,Derived from data,ETS,The number of pulmonary non-UK born cases for each year were extracted from the ETS and grouped by age.,England,No,-
$\iota_{\text{scale}}$,Scaling parameter for the importation of non-UK born cases between 1960 and 2000.,"$\mathcal{N}(0, 200)$",-,Assumption,-,This largely uninformative prior range was chosen so that non-UK born scaling can vary between approximately linear to approximately constant.,England,Yes,-
$M$,The proportion of mixing between the UK born and non-UK born population.,"$\mathcal{N}(1, 1)$ truncated to be greater than 0",Proportion,Assumption,Assumption,Any degree of mixing is allowed as there is little data on which to base this estimate. Mixing greater than 1 is allowed as this is used to represent non-UK born cases being in some way more infectious than non-UK born cases.,-,Yes,-
$\M_{\text{young-adult}}$,This parameter modifies the non-UK born mixing rate in scenarios when $M$ is modified for young adults (15-24).,"$\mathcal{U}(0, 10)$",-,Assumption,Assumption,An uninformative prior has been used bounded above to restrict non-UK born mixing in young adults to be no greater than 10 times that in other age-groups.,England,Yes,-
$\chi$,Age-specific protection from infection with TB due to BCG vaccination,"$\chi^v_{i} = \mathcal{N}(0.185$, $0.0536)$, where $i$ is the age group vaccinated.",Proportion,Roy et al.,[@Roy2014],A meta-analysis of the protection from infection due to BCG vaccinatiion in children. It has been assumed that there is no reduction in protection in UK born adults.,Global,No,-
$\epsilon_H$,The age-specific rate of transition to active disease during high risk latent period.,"$\epsilon_H^{0-4,5-14,15-89} = \mathcal{N}(0.00695, 0.00130)$, $\mathcal{N}(0.0028, 0.000561)$, $\mathcal{N}(0.000335, 0.0000893)$",$days^{-1}$,Ragonnet et al.,[@Ragonnet2017],"From fitting a similar model to contact data in Australia, and Holland. Distribution derived by the assumption of a normal distribution based on 95\% credible intervals.",Low incidence,No,https://doi.org/10.1016/j.epidem.2017.06.002
$\kappa$,The reciprocal of the age-specific average high risk latent period.,"$\kappa^{0-4,5-14,15-89} = \mathcal{N}(0.0133, 0.00242)$, $\mathcal{N}(0.0120, 0.00207)$, $\mathcal{N}(0.00725, 0.00191)$",$days^{-1}$,Ragonnet et al.,[@Ragonnet2017],"From fitting a similar model to contact data in Australia, and Holland. Distribution derived by the assumption of a normal distribution based on 95\% credible intervals.",Low incidence,No,https://doi.org/10.1016/j.epidem.2017.06.002
$\epsilon_L$,The reciprocal of the age-specific average low risk latent period.,"$\epsilon_L^{0-4,5-14,15-89} = \mathcal{N}(8.00e^{-6}, 4.08e^{-6})$, $\mathcal{N}(9.84e^{-6}, 4.67e^{-6})$, $\mathcal{N}(5.95e^{-6}, 2.07e^{-6})$",$days^{-1}$,Ragonnet et al.,[@Ragonnet2017],"From fitting a similar model to contact data in Australia, and Holland. Distribution derived by the assumption of a normal distribution based on 95\% credible intervals.",Low incidence,No,https://doi.org/10.1016/j.epidem.2017.06.002
$\epsilon^{\text{older-adult}_L$,This parameter modifies the activation rate of low risk latent cases who are 70+ and reduces the activaton rate for other adults so that the mean activation rate is $\epsilon_L^{15-89}$,"$\mathcal{N}(2, 0.5)$ truncated to be at least 1.",-,"Horsburgh, Jr. et al.",[@HorsburghJr:2010bm],Evidence suggests that activation risk increases when individuals enter old age. A largely uninformative prior has been used centred around an increase in risk of double the average rate.,Low incidence,No,https://doi.org/10.1164/rccm.200909-1355OC
$\alpha_i^T$,The BCG vaccine effectiveness at preventing the development of active TB disease in a TB free population,"$\alpha^T_{i,i+5,i+10,i+15,i+20,i+25} = 1 - e^{\alpha^{\text{ln}(T)}_{i,i+5,i+10,i+15,i+20,i+25}}$, where $\alpha^{\text{ln}(T)}_{i,i+5,i+10,i+15,i+20,i+25} = \mathcal{N}(-1.86, 0.22)$, $\mathcal{N}(-1.19, 0.24)$, $\mathcal{N}(-0.84, 0.22)$, $\mathcal{N}(-0.84, 0.2)$, $\mathcal{N}(-0.28, 0.19)$, $\mathcal{N}(-0.23, 0.29))$ and $i$ is the age group vaccinated",Proportion,Hart et al. and Mangtani et al.,[@Hart1972; @Mangtani2017] ,Poisson regression used to calculate Risk Ratios from literature values. A distribution is then found using the log normal approximation. Effectiveness estimates are caculated using 1 minus the exponentiated log normal distribution.,England,No,-
$\delta$,Reduction in susceptibilty to infection for low risk latent cases.,"$\mathcal{N}(0.78$, $0.0408)$",Proportion,Andrews et al.,@Andrews2012,A review of prospective cohort studies of persons exposed to individuals with infectious tuberculosis that was published prior to the widespread treatment of latent tuberculosis.,Global,No,-
"$\nu^{P, E}$",The reciprocal of the average infectious period,"$\nu^P_{(0-14,15-89)} = \mathcal{N}(0.181, 0.310)^{-1}$, $\mathcal{N}(0.328, 0.447)^{-1}$, $\nu^E_{(0-14, 15-89)} = \mathcal{N}(0.306, 0.602	)^{-1}$, $\mathcal{N}(0.480, 0.866)^{-1}$",$years^{-1}$,Derived from data,ETS,Estimated based on the time from initial symptoms to starting treatment,England,No,-
$\phi$,The reciprocal of the time to succesful treatment completion,"$\phi_{0-14,15-69,70-89} = \mathcal{N}(0.606,0.237)^{-1}$, $\mathcal{N}(0.645, 0.290)^{-1}$, $\mathcal{N}(0.616, 0.265)^{-1}$ and truncated to be greater than 4 months",$years^{-1}$,Derived from data,ETS,Estimated based on the time from starting treatment to treatment completion.,England,No,-
$\mu$,Rate of age-specific pulmonary/extra-pulmonary TB TB mortality,"$\mu_{0-14,15-59,60-89} = \mathcal{N}(0.0039, 0.018)$, $\mathcal{N}(0.0226, 0.00787)$, $\mathcal{N}(0.117, 0.0165)$ truncated to be greater than 0.",$years^{-1}$,Derived from data,ETS,"Estimated based on outcomes at 12 months where cause of death was known, including all-cause deaths in the denominator.",England,No,-
$\zeta$,Rate of loss to follow up,"$\zeta_{0-14,15-59,60-89} = \mathcal{N}(0.00976, 0.0179)$, $\mathcal{N}(0.0304, 0.00764)$, $\mathcal{N}(0.00614, 0.0159)$, truncated to be greater than 0.",$years^{-1}$,Derived from data,ETS,Estimated based on outcomes at 12 months for TB cases,England,No,-
